x,enthalpy
0.0,-0.0
0.05,-2.13391375
0.1,-3.89115
0.15000000000000002,-5.29705125
0.2,-6.37696
0.25,-7.156218749999999
0.30000000000000004,-7.66017
0.35000000000000003,-7.914156249999998
0.4,-7.9435199999999995
0.45,-7.77360375
0.5,-7.429749999999999
0.55,-6.937301249999999
0.6000000000000001,-6.321599999999997
0.65,-5.607988749999999
0.7000000000000001,-4.821809999999998
0.75,-3.9884062499999997
0.8,-3.133119999999999
0.8500000000000001,-2.2812937499999983
0.9,-1.4582699999999993
0.9500000000000001,-0.6893912499999989
1.0,-0.0
